mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
1,271,19,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model01
1,271,19,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model01
3,1446,22,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model02
3,1446,22,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model02
1,683,9,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model03
1,683,9,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model03
7,1449,24,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model04
7,1449,24,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model04
2,633,14,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model05
2,633,14,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model05
1,1645,30,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model06
1,1645,30,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model06
3,1581,13,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model07
3,1581,13,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model07
4,1000,4,accuracy,binary,0.9546239757224926,3,3.994242401828431e-4,Preprocessor1_Model08
4,1000,4,f_meas,binary,0.9767844161495607,3,2.0892404554727874e-4,Preprocessor1_Model08
5,826,16,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model09
5,826,16,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model09
6,985,29,accuracy,binary,0.9547019983426939,3,4.209555730467477e-4,Preprocessor1_Model10
6,985,29,f_meas,binary,0.97682603934702,3,2.2038025251365547e-4,Preprocessor1_Model10
